gene_id,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6
Adora2b,0,2,0,2,0,2,8,3,1,5,7,40
Adora2a,731,1036,749,913,761,334,825,1298,1321,1137,1096,617
Gm20741,0,0,0,0,0,0,0,0,0,0,0,0
Gm4340,0,0,0,0,0,0,0,0,0,0,0,0
Gm20744,0,0,0,0,0,0,0,0,0,0,0,0
Gm20743,0,0,0,0,0,0,0,0,0,0,0,0
Gm20745,1,0,0,0,0,0,1,3,2,0,0,0
Rrp1,3580,4521,3118,3974,3677,3875,2925,4380,4132,3421,3325,6196
Gm20747,0,0,0,0,0,0,0,0,0,0,0,0
Fam50a,840,1117,744,920,1003,746,773,1184,1062,901,876,1076
Fam50b,0,0,0,0,0,0,0,0,0,0,0,0
Gm4349,2,3,1,1,0,0,5,15,5,7,17,5
Vps35,3952,4951,3159,5623,4495,3218,3333,5341,4427,4510,3742,5279
Elk1,311,400,285,340,344,214,242,423,359,324,289,336
Gm19757,210,221,193,548,209,123,166,310,323,314,274,350
Vps36,1388,1680,1169,1653,1442,1077,1025,1484,1334,1240,1130,1748
Cyb561d2,420,429,379,430,318,372,232,390,322,344,337,825
9530002B09Rik,0,0,0,0,0,0,0,0,0,0,0,0
Cyb561d1,513,642,399,877,503,318,436,800,712,663,615,683
Elk3,1628,2219,1575,1911,1591,782,1869,3129,2732,2438,1962,1971
Rrp9,362,379,338,362,338,774,276,302,351,367,363,2020
Rrp8,622,862,581,783,681,1078,519,719,683,614,554,1832
Vps39,1629,2019,1307,2052,1608,1212,1482,2372,2179,1943,1738,2355
Vps29,1110,1379,897,1156,1214,984,884,1207,1147,922,793,1475
Elk4,1793,2325,1430,2641,1981,927,1787,3362,2620,2142,1878,1417
Abcb6,269,286,253,315,288,387,178,263,235,292,239,691
Abcb7,1460,2106,1360,2446,1786,1435,1523,2553,2012,1738,1594,2294
Abcb4,14,12,3,9,0,3,23,28,29,19,34,11
Abcb5,0,0,0,0,0,0,0,0,0,0,0,0
Osbpl11,760,917,689,978,780,551,832,1375,1231,1024,884,1156
Abcb8,711,704,615,876,578,541,452,723,677,669,681,946
Gm3002,20,31,29,40,24,56,21,59,46,33,38,117
Osbpl10,0,0,1,0,0,0,0,0,1,1,0,0
Tcp11l1,4,6,5,1,1,0,8,17,14,16,7,14
Abcb9,2215,2705,2017,2928,1994,1337,2132,3325,3582,3270,2859,3047
Hhla1,0,0,0,0,0,0,0,0,0,0,0,0
Tcp11l2,1095,1563,973,2081,1177,345,1141,1906,1837,2090,1544,839
Gm20740,0,0,0,0,0,0,0,0,0,0,0,0
Gm20735,10,36,29,33,25,2,5,24,31,44,18,22
Thegl,0,0,0,0,0,0,0,0,0,0,0,0
Gm20736,0,0,0,0,0,0,0,0,0,0,0,0
Gm20738,0,0,0,0,0,0,0,0,0,0,0,0
Hus1,488,616,548,707,534,637,471,736,621,548,516,1329
Vps25,2615,3205,2188,2355,2630,2035,2353,3447,3265,2683,2448,3926
Vps28,3971,4772,3132,3450,3495,2143,2618,4081,4057,3438,3293,3493
Abcc3,19,20,21,23,15,3,13,35,25,24,18,26
Chid1,400,532,431,668,491,400,436,626,615,637,575,912
Vps18,296,382,305,393,295,264,230,375,368,360,309,526
Abcc4,680,830,650,909,789,827,597,885,902,746,694,1745
Abcc1,1008,1253,881,1321,974,983,928,1535,1370,1275,1213,2334
Abcc2,0,0,0,0,0,0,0,1,0,0,0,0
Abcc8,0,0,0,0,0,0,0,0,1,0,0,3
Abcc5,911,1201,770,1413,1045,467,851,1537,1302,1192,1085,884
Abcc6,0,0,0,0,0,0,0,0,0,0,0,0
Abcc9,3,3,3,6,1,1,3,4,3,5,0,1
Art2b,614,901,648,946,725,310,882,1663,1255,1052,771,574
Ghrhr,0,0,0,0,0,0,0,0,0,0,0,0
Gm20765,0,0,0,0,0,0,0,0,0,0,0,0
Gm6981,8,9,8,15,6,9,9,23,19,16,10,21
Gm20767,0,0,0,0,0,0,0,0,0,0,0,1
Mcam,42,20,20,38,25,10,101,111,122,142,87,92
Vps11,1201,1487,987,1542,1321,729,1055,1754,1667,1507,1283,1447
Mcat,279,317,214,357,268,181,187,256,333,333,284,488
Ankra2,601,791,555,813,704,415,574,1000,826,736,695,852
Vps16,2238,2894,2068,2926,2416,1621,2169,3292,2949,2691,2538,3230
Abo,0,0,0,0,0,0,0,0,0,0,0,0
BB283400,0,0,0,0,0,0,0,0,0,2,0,0
Abr,2805,3536,2348,3532,2866,1791,2452,4038,3721,3267,2870,3318
Bcan,0,0,0,0,0,0,0,0,0,0,0,0
Wdhd1,1887,2203,1525,2392,2141,1869,1502,2522,1927,1810,1580,3076
Bcam,16,5,16,17,8,10,45,37,49,67,53,65
Chic2,795,1196,748,1092,869,455,743,1204,1075,1007,885,878
Chic1,12,45,25,39,19,22,36,79,68,63,68,58
T,0,0,0,0,0,0,0,0,0,0,0,2
Rrs1,450,557,476,526,451,1173,396,468,460,382,414,2245
Gm3020,0,0,0,0,0,0,0,0,0,0,0,0
DQ267102,0,0,0,0,0,0,0,0,0,0,0,0
Gm20753,0,4,0,0,0,0,0,0,0,0,0,2
Nfe2,40,50,32,32,46,15,83,104,92,107,76,24
Plk5,0,0,0,0,0,0,0,1,2,3,0,0
DQ267101,0,0,0,0,0,0,0,0,0,0,0,0
Gm20752,0,0,0,0,2,1,0,0,0,0,0,1
a,45,72,55,36,52,32,56,80,63,71,57,103
Ace,0,0,0,1,0,0,3,3,8,3,4,6
Gm20755,0,0,0,0,0,0,0,0,0,0,0,0
Plk3,190,161,151,169,116,221,113,149,141,125,141,421
Acd,1202,1368,1062,1281,1176,603,1017,1472,1339,1240,1155,1149
Gm20754,0,0,0,0,0,0,0,0,0,0,0,0
Gm5662,0,0,0,0,0,0,0,0,0,0,0,0
Plk4,2253,2882,1857,2937,2566,1888,1862,3232,2643,2496,2110,3034
Gm20757,0,0,0,0,0,0,0,0,0,0,0,0
Plk1,5047,6342,4783,4886,5158,2925,4407,7030,5904,4969,4520,4687
Gm20756,0,0,1,0,0,0,0,2,0,0,0,1
Gm6994,0,0,0,0,0,0,0,0,0,0,0,0
Plk2,112,139,105,107,96,36,196,252,308,229,209,275
DQ267100,0,0,0,0,0,0,0,0,0,0,0,0
Gm20759,0,0,0,0,0,0,0,0,0,0,0,0
Gm20758,0,0,0,0,0,0,0,0,0,0,0,0
Bmpr1a,112,165,105,142,103,142,345,556,515,448,344,682
Cyb561a3,938,1207,866,1287,958,462,910,1615,1382,1383,1148,993
Bmpr1b,0,0,0,0,0,0,0,0,0,0,0,0
Ell2,228,292,223,280,282,208,402,639,596,436,331,417
Ell3,20,17,12,14,26,4,15,23,29,26,22,7
